portal_rank_247,player_name,role,team,new_team,conf,GP,Min_per,min_factor,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec_Rank,ast_tov,rimmade,rimmade_rimmiss,midmade,midmade_midmiss,rim_pct,mid_pct,dunksmade,dunksmade_dunksmiss,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,bpm_adj,adj_bpm2,obpm,dbpm,gbpm,adj_gbpm,min_adj_gbpm,mp,mp_factor,cam_gbpm,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,idk,dob,gp_weight,cam_gbpm_v2,min_adj_gbpm_v2,conf_sos,sos_adj,adj_gbpm_sos,cam_gbpm_v3,min_adj_gbpm_v3
,Willie Williams,PF/C,Northwestern St.,,Slnd,25,62.6,1.314,112.4,18.1,62.1,60.2,10.2,24.8,11.7,16.5,24,54,0.444,110,178,0.618,2,4,0.5,2.6,2,29.7,Sr,6-6,23,1.74526,109.042,2.4,2026,128178,"Houston, TX",,1.05403697,94,139,16,39,0.6763,0.4103,7,7,1,,106.467,108.973,2.6581,149.312,1.81004,45.191,1.592,-0.313375,2.12341,1.44756,1.410,1.852,29.7423,1.307,1.842,0.987685,0.459871,2.5385,5.9615,8.5,1.5,0.9615,0.7308,9.8462,0.324285,2003-10-15,0.758,1.396,1.403,-0.883,-0.441,0.968,0.959,0.964
,Isaac Gard,Wing G,Wisconsin,,B10,14,1.1,0.255,110.9,29.8,64.3,69.18,0,22,12.8,24.9,2,2,1,0,1,0,3,6,0.5,0,0,28.6,Sr,6-3,15,0.127728,125.192,2.5,2026,76430,"Oregon, WI",,0.4996501,0,0,0,1,,0,0,0,,,111.341,110.292,0.0936868,2.47515,-0.141154,15.243,1.288,2.35507,-2.49623,4.09878,6.785,1.731,1.1214,0.173,1.175,5.64534,-1.54656,0,0.2143,0.2143,0.0714,0,0,0.7857,22.3709,2003-10-15,0.636,0.748,1.102,3.756,1.878,8.663,0.955,1.407
,JJ Starling,Combo G,Syracuse,,ACC,30,66.7,1.298,97.5,22.2,45.7,46.66,1.7,8.7,16.1,12.4,34,62,0.548,111,239,0.464,24,83,0.289,0.7,1.8,19.3,Sr,6-4,2,1.2965,105.505,2.3,2026,76159,"Baldwinsville, NY",96,1.75605473,79,138,32,101,0.5725,0.3168,6,7,0.8571,,111.073,105.283,2.8704,127.203,-0.927365,58.849,-0.853,-0.140165,-0.787201,-0.592422,-0.709,-0.920,29.0333,1.349,-0.956,-0.65946,0.0670377,0.4333,2.2333,2.6667,2.4,0.8667,0.2,10.9333,5.58554,2004-03-16,0.789,-0.755,-0.727,3.209,1.605,0.896,0.954,0.918
,Finn Lally,PF/C,William & Mary,,CAA,24,19.6,0.767,116.8,19.3,56,58.67,7.7,13.8,18.9,14.4,17,24,0.708,24,42,0.571,9,25,0.36,5.6,1.4,35.8,Sr,6-8,43,0.720535,113.539,5.3,2026,127013,"Hamilton, New Zealand",,1.78571428,21,33,3,9,0.6364,0.3333,0,0,,,107.381,109.22,0.856103,45.0259,1.71368,28.296,1.661,0.811645,0.90204,2.07561,2.048,1.571,10.136,0.731,1.498,1.20685,0.868764,0.6,1.32,1.92,1,0.28,0.48,3.92,5.79474,2002-08-14,0.750,1.123,1.179,-0.623,-0.311,1.737,0.953,0.999
,Amier Ali,Wing F,Mississippi St.,,SEC,12,6.8,0.651,104.9,21.2,44.7,45.98,6.1,17.9,4.1,3,4,7,0.571,5,12,0.417,8,26,0.308,0,1.3,18.4,So,6-8,14,0.482079,111.796,1.8,2026,126545,"Little Elm, TX",85.8,2.0012005,4,7,1,5,0.5714,0.2,2,2,1,,113.943,104.671,0.736904,14.9325,-2.29812,29.099,-1.795,0.939041,-3.23716,1.26636,1.720,1.120,7.3,0.431,0.741,2.45952,-1.19315,0.4167,1.25,1.6667,0.1667,0.1667,0,3.1667,16.4269,2005-03-27,0.600,0.444,0.672,3.920,1.960,3.680,0.951,1.438
,Elijah Hulsewe,C,UCF,,B12,17,6,0.522,128.1,11.8,60,65.22,13.8,20.2,3.8,18,6,8,0.75,6,10,0.6,0,0,0,1.4,2.8,80,Jr,7-0,9,0.475796,121.971,9,2026,76746,"Orlando, FL",,0.66628899,5,8,1,2,0.625,0.5,0,0,,,105.239,99.5974,0.558857,17.3481,4.50347,9.975,3.802,2.17307,2.3304,1.56859,1.675,0.875,4.7,0.405,0.678,-1.12594,2.69453,0.5882,0.8235,1.4118,0.1176,0.2353,0.0588,1.0588,0,2003-10-15,0.680,0.461,0.595,3.557,1.779,3.453,0.950,1.227
,Myles Stute,Stretch 4,South Carolina,,SEC,27,48.9,1.166,96.2,14.4,47.6,49.07,3.8,15.1,6.7,16.8,16,25,0.64,17,33,0.515,34,110,0.309,1,1.6,17.5,Sr,6-6,10,-0.0972903,91.1605,3.2,2026,73509,"Washington, DC",55.6,0.88463134,12,22,5,11,0.5455,0.4545,3,3,1,,111.433,104.351,2.41845,104.391,0.366708,33.165,0.414,-1.29,1.6567,-1.09887,-0.899,-1.048,23.4333,1.155,-1.038,-1.86935,0.770485,0.7407,3,3.7407,0.8519,0.6296,0.2222,5.6296,10.2652,2001-10-15,0.771,-0.801,-0.808,3.920,1.960,1.062,0.946,0.955
,Austin Williford,Wing G,Saint Joseph's,,A10,34,65.6,1.235,101.6,16.9,48,49.84,5.6,13,9.6,15.6,31,46,0.674,47,109,0.431,48,139,0.345,1.1,2.6,18.5,Fr,6-4,13,0.587606,98.8204,3.3,2026,135600,"Charlottesville, VA",40.2,1.11364745,36,73,11,36,0.4932,0.3056,2,2,1,,102.629,102.329,2.91781,168.665,1.83292,39.470,1.635,-0.443932,2.27686,0.424128,0.294,0.363,26.2583,1.338,0.393,-1.61124,2.03537,1.3611,3.3056,4.6667,1.3611,1.1111,0.2778,7.8056,9.14633,2006-10-15,0.810,0.318,0.293,1.157,0.579,0.872,0.945,0.872
,John Christofilis,Wing G,Seattle,,WCC,33,41,0.982,107.8,16.4,53.2,55.06,1.1,6.3,3.1,6.5,18,22,0.818,23,58,0.397,46,115,0.4,0.4,0.7,12.7,Sr,6-3,11,0.622285,103.302,1.3,2026,75015,"Seattle, WA",69.6,0.89989497,7,17,16,41,0.4118,0.3902,0,0,,,107.253,105.082,1.66602,67.9359,-2.21042,34.367,-2.041,-0.989877,-1.22055,0.538057,0.511,0.502,16.5971,1.058,0.540,0.669757,-0.131699,0.1429,1,1.1429,0.2571,0.2286,0.0571,6.4857,12.2691,2002-10-15,0.805,0.435,0.404,1.197,0.598,1.109,0.944,0.876
103,Brant Byers,Wing F,Miami OH,,MAC,31,78.6,1.338,122.2,18.3,57.7,63.05,3.3,11.4,3.1,9.6,123,156,0.788,66,114,0.579,63,164,0.384,1.2,1.1,56.1,So,6-8,22,2.64921,116.653,2.5,2026,127000,"Chambersburg, PA",,0.61285366,59,97,7,17,0.6082,0.4118,14,15,0.9333,,109.398,110.568,2.59676,156.471,0.813514,47.868,0.963,1.95774,-1.14423,1.04197,1.161,1.554,30.8176,1.464,1.701,1.90014,-0.858167,0.7941,3.3529,4.1471,0.5588,0.5882,0.3529,14.2059,9.33164,2005-10-15,0.795,1.352,1.235,-0.706,-0.353,0.808,0.941,0.860
,Boden Skunberg,Wing G,Illinois St.,,MVC,34,66.3,1.254,109.6,18.1,54.5,56.18,4,14.9,9.7,14.8,37,52,0.712,58,117,0.496,59,152,0.388,0.2,1.1,19.3,Sr,6-5,14,1.43022,107.472,3.2,2026,73499,"Jamestown, ND",,1.19049991,33,57,25,60,0.5789,0.4167,0,0,,,104.232,103.237,2.9478,151.799,1.16601,43.928,1.082,0.311908,0.854102,0.692593,0.635,0.796,27.08,1.345,0.854,0.113814,0.57878,0.9429,3.4571,4.4,1.4286,0.4857,0.0571,9.6,9.64564,2001-10-15,0.810,0.691,0.645,0.457,0.228,0.863,0.940,0.876
,Myles Walker,Pure PG,Nevada,,MWC,32,16.4,0.668,108.5,13.5,46.3,48.95,1.4,8.2,33,23.4,4,4,1,10,23,0.435,6,18,0.333,0,3.4,9.8,Fr,5-10,2,0.229254,100.996,4.1,2026,133766,"Riverside, CA",,3.46184165,2,5,8,18,0.4,0.4444,0,0,,,106.156,102.167,0.855636,42.3986,-0.961426,18.680,-0.828,-0.591358,-0.370068,0.86147,0.973,0.650,7.6875,0.669,0.651,-1.71337,2.57484,0.0938,0.5312,0.625,1.4062,0.4375,0,1.3125,4.3642,2006-10-15,0.800,0.520,0.520,1.567,0.783,1.756,0.940,0.938
,Eddie Ricks III,Wing F,James Madison,,SB,31,64.4,1.244,122.2,13.9,54.9,60.23,5.4,17.9,10.9,14.3,59,75,0.787,61,100,0.61,15,52,0.288,1.7,1.7,49.3,Jr,6-7,3,1.61732,109.904,2.4,2026,78098,"Clarksville, TN",,1.82148566,49,76,12,24,0.6447,0.5,20,21,0.9524,,108.781,111.445,2.1142,147.975,1.99354,32.108,1.756,0.992317,1.00122,1.72552,1.504,1.871,26.6625,1.325,1.993,1.04577,0.679749,1.1875,4.4062,5.5938,1.5938,0.8125,0.4375,7.125,3.70838,2004-10-15,0.795,1.584,1.487,-1.225,-0.613,0.891,0.939,0.882
,Jared Harris,Wing G,Wyoming,,MWC,11,8.5,0.755,119.1,19.7,47.1,54.66,7.4,19.2,5.1,8.2,14,17,0.824,7,14,0.5,6,20,0.3,0,3.8,50,So,6-2,9,0.841911,116.786,4.4,2026,127823,"Silsbee, TX",82.4,1,7,13,0,1,0.5385,0,3,3,1,,103.446,103.982,1.04768,22.352,1.81205,28.389,1.980,2.03377,-0.221719,2.66707,2.577,1.946,9.825,0.482,1.241,1.12713,1.53994,0.8333,1.5833,2.4167,0.25,0.6667,0,4,10.863,2005-10-15,0.579,0.718,1.127,1.567,0.783,3.360,0.937,1.469
202,Eli Rice,Wing F,Penn St.,,B10,29,44.8,1.072,106.5,16.5,51.6,55.12,2.2,8.8,2.2,11.3,34,44,0.773,19,51,0.373,41,105,0.39,1.1,1.9,28.2,So,6-8,11,0.878206,105.166,3.1,2026,77967,"Gallatin, TN",61,0.38891574,14,36,5,15,0.3889,0.3333,0,0,,,120.158,113.236,1.45016,83.0535,-1.30318,36.756,-1.169,0.374111,-1.67729,-0.900034,-0.809,-0.866,19.7759,1.106,-0.894,0.222413,-1.12245,0.3448,1.3103,1.6552,0.2414,0.6207,0.1724,6.7241,10.8724,2004-10-15,0.784,-0.701,-0.679,3.756,1.878,1.069,0.927,0.898
,Nordin Kapic,PF/C,South Carolina,,SEC,22,18.4,0.793,108.2,18.5,52.1,53.68,7,15.3,6.8,12.1,9,13,0.692,14,26,0.538,16,47,0.34,0.4,0.7,17.8,Sr,6-8,24,0.639131,109.566,4.7,2026,127042,"Vienna, Austria",,0.88878022,8,17,6,9,0.4706,0.6667,0,0,,,113.271,106.668,1.02946,35.9096,-1.10265,30.216,-0.992,-0.0275681,-1.07508,-0.210534,-0.180,-0.142,10.8318,0.708,-0.127,0.0713556,-0.28189,0.6364,1.4091,2.0455,0.3636,0.1364,0.0455,3.8636,11.6564,2003-09-30,0.733,-0.093,-0.104,3.920,1.960,1.781,0.925,1.036
,Amire Robinson,Wing G,Nevada,,MWC,36,22.9,0.744,120.1,12.7,56,57.78,3.7,9.7,7.8,9.6,12,17,0.706,18,27,0.667,16,48,0.333,0.7,1.4,22.7,Jr,6-4,5,0.609459,111.058,3.5,2026,78499,"Akron, OH",,2.00051449,15,19,3,8,0.7895,0.375,0,0,,,109.809,106.01,0.92471,49.7391,1.39499,17.854,1.103,1.36234,0.0326525,0.687685,0.646,0.481,9.5278,0.790,0.511,-0.0540237,0.741709,0.3056,0.7778,1.0833,0.3889,0.2222,0.0556,2.6667,8.33455,2004-10-15,0.818,0.418,0.393,1.567,0.783,1.430,0.925,0.870
,Alexis Marmolejos,Wing G,Pacific,,WCC,23,16.9,0.728,105.7,20.7,46,50.58,4.1,15.2,6.5,12.6,16,19,0.842,12,28,0.429,15,47,0.319,0.6,1.7,25.3,Sr,6-2,0,0.465923,107.147,2.5,2026,127023,"Santiago de los Caballeros, Dominican Republic",,0.63636364,10,21,2,7,0.4762,0.2857,0,0,,,105.98,105.754,0.902105,36.1995,-1.68888,31.388,-1.649,-0.697107,-0.991773,1.2157,1.230,0.896,9.14,0.679,0.835,0.693139,0.522562,0.32,1.24,1.56,0.28,0.24,0.08,3.6,13.6011,2003-10-15,0.742,0.620,0.665,1.197,0.598,1.828,0.921,0.988
,Chandler Jackson,Pure PG,Arkansas St.,,SB,30,67.6,1.250,115.2,21.6,52.7,57.56,4.4,9.3,30.4,20.4,98,139,0.705,99,177,0.559,13,48,0.271,0.3,2.3,61.8,Sr,6-5,0,2.1864,115.671,3.3,2026,76835,"Memphis, TN",75.8,2.17905237,61,103,38,74,0.5922,0.5135,6,7,0.8571,,108.677,110.67,2.22348,138.185,1.08173,52.648,1.346,1.50503,-0.423297,1.41403,1.471,1.839,26.9125,1.358,1.998,0.869155,0.544878,1.0938,2.3125,3.4062,4.5625,1.125,0.0625,10.625,3.20266,2004-02-09,0.789,1.577,1.452,-1.225,-0.613,0.859,0.921,0.848
,Myles Parker,Wing F,Marist,,MAAC,30,36.2,0.919,116.8,16,58.3,60.92,4.3,13.9,8.8,13.9,22,28,0.786,20,34,0.588,29,75,0.387,0.8,3.3,25.7,Fr,6-8,5,0.753291,107.357,4,2026,135353,"Plainfield, NJ",,1.31253634,15,20,5,14,0.75,0.3571,5,5,1,,93.6759,98.2658,1.81435,88.1125,1.85913,27.692,1.692,-0.0332477,1.89238,2.43915,2.217,2.037,14.5387,0.994,2.203,-0.2793,2.71845,0.6129,1.871,2.4839,0.6774,0.7742,0.0968,5.0968,10.4267,2006-10-15,0.789,1.739,1.608,-2.090,-1.045,1.171,0.919,0.850
,Justin Menard,Scoring PG,Marist,,MAAC,30,73.2,1.303,108,23.7,52.6,56.92,0.7,10.3,26.7,18.6,63,68,0.926,81,154,0.526,53,151,0.351,0.5,2.6,22.3,So,6-3,2,1.73518,109.457,2.5,2026,127499,"Higganum, CT",,1.76120856,48,81,33,73,0.5926,0.4521,0,0,,,97.1316,101.891,3.29765,154.736,0.420119,61.220,0.380,0.0448434,0.375276,1.92002,1.869,2.435,29.2484,1.413,2.641,0.579796,1.34023,0.1935,2.7097,2.9032,3.8065,1.2581,0.129,12.9032,10.3815,2005-10-15,0.789,2.085,1.923,-2.090,-1.045,0.824,0.919,0.847
,Kaleb Banks,Wing F,DePaul,,BE,31,39.3,0.971,112,16.4,54,58.14,5.3,13.1,5.1,13.6,40,54,0.741,34,62,0.548,22,62,0.355,2,0.9,43.5,Sr,6-8,1,1.01406,110.379,5,2026,76200,"Hampton, GA",82.6,0.6842878,32,49,2,13,0.6531,0.1538,7,7,1,,105.852,102.27,1.80724,78.5074,0.148075,31.691,0.110,-0.748782,0.896858,-0.423595,-0.431,-0.419,16.2258,1.035,-0.447,-1.3979,0.974301,0.7419,1.7742,2.5161,0.4194,0.2581,0.2903,5.6129,7.26566,2003-11-17,0.795,-0.355,-0.333,3.081,1.540,1.109,0.913,0.856
,Trent Sisley,Stretch 4,Indiana,,B10,30,30.6,0.876,104.3,18.1,49.1,50.19,8,17.9,5.1,10.1,21,39,0.538,33,59,0.559,13,48,0.271,0.6,0.5,36.4,Fr,6-8,11,0.630774,106.304,3.5,2026,135079,"Santa Claus, IN",83.4,0.91674997,31,54,2,5,0.5741,0.4,14,16,0.875,,108.845,102.233,1.45446,62.9646,-0.865139,32.456,-0.814,-0.327848,-0.537291,-0.61583,-0.616,-0.540,13.2067,0.914,-0.563,-0.572142,-0.0436882,0.8,2,2.8,0.3667,0.1,0.0667,4.2,7.31474,2006-08-11,0.789,-0.445,-0.426,3.756,1.878,1.261,0.910,0.872
,Amarri Monroe,Wing F,Quinnipiac,,MAAC,30,79.9,1.390,100.3,26,45.6,49.9,6.3,21.8,13.7,17.3,93,122,0.762,134,281,0.477,36,131,0.275,2.7,4,29.6,Sr,6-7,2,1.51347,105.576,3,2026,76367,"Newburgh, NY",,0.8461539,90,159,44,122,0.566,0.3607,18,22,0.8182,,96.7356,100.891,3.83591,237.757,2.0092,69.506,1.222,-1.11152,3.12071,2.17094,1.823,2.535,33.2967,1.476,2.692,-0.0719039,2.24284,1.9,6.3667,8.2667,2.2,2.3,0.8667,15.6333,7.54757,2003-03-04,0.789,2.125,2.001,-2.090,-1.045,0.778,0.907,0.854
,TJ Hurley,Wing G,Vermont,,AE,32,77.2,1.341,124.1,21.2,58.3,62.47,0.9,12.8,9.7,8.2,90,104,0.865,83,143,0.58,76,195,0.39,0.4,1.4,30.8,Sr,6-5,3,3.04556,120.792,2.4,2026,76726,"Pelham, Canada",,1.65529368,45,63,38,80,0.7143,0.475,2,2,1,,107.665,114.07,2.17491,155.488,-0.0876983,56.970,0.438,2.09956,-2.18726,2.01734,2.423,3.249,30.9676,1.451,3.517,2.62764,-0.6103,0.2059,3.2647,3.4706,1.4118,0.7059,0.1176,15.0294,12.1146,2004-05-26,0.800,2.813,2.599,-3.286,-1.643,0.780,0.906,0.837
,Aidan Noyes,Wing F,Belmont,,MVC,14,16.7,0.931,134.6,12.5,71.7,73.68,0.6,13.4,3.1,10.9,7,7,1,5,7,0.714,22,46,0.478,1.3,0.5,13.2,Sr,6-7,4,1.46888,120.949,2.3,2026,75578,"Cincinnati, OH",,0.80005597,5,5,0,2,1,0,1,1,1,,109.19,109.878,1.25859,33.5945,0.650441,22.680,0.197,2.6942,-2.04376,2.6841,1.877,1.748,14.9429,0.675,1.267,4.08734,-1.40325,0.0714,1.8571,1.9286,0.2857,0.1429,0.1429,5.9286,12.5346,2002-06-03,0.636,0.806,1.113,0.457,0.228,2.106,0.904,1.248
195,Legend Smiley,Wing G,San Francisco,,WCC,32,52.8,1.114,118.3,15.8,58.8,61.84,3.1,6.9,5.7,14,34,39,0.872,29,57,0.509,52,125,0.416,0.6,1.3,21.4,Fr,6-5,13,1.59973,114.188,3.6,2026,135075,"Seattle, WA",63.4,0.76926012,16,28,13,29,0.5714,0.4483,3,3,1,,113.8,112.239,1.62244,93.878,0.473102,34.678,0.441,1.7811,-1.30799,0.370135,0.343,0.382,21.3788,1.200,0.412,1.02715,-0.657013,0.5758,1.303,1.8788,0.6061,0.4848,0.1515,8.0606,11.0236,2006-10-15,0.800,0.330,0.306,1.197,0.598,0.942,0.904,0.839
,Ian Platteeuw,PF/C,Davidson,,A10,30,35.2,0.939,99.2,21.4,47.2,47.08,11.5,16.5,24.2,22.3,14,32,0.438,48,98,0.49,2,10,0.2,2.3,2.3,29.6,Fr,7-0,16,0.56326,103.188,3.9,2026,135417,"Barcelona, Spain",88.6,1.56765814,42,69,6,29,0.6087,0.2069,7,8,0.875,,103.848,103.231,1.62095,81.2197,1.66933,38.601,1.147,-1.26845,2.93777,0.918841,0.587,0.551,15.171,0.980,0.575,-0.874581,1.79342,1.4839,2.2903,3.7742,1.871,0.5806,0.4516,4.0968,1.36399,2006-10-15,0.789,0.454,0.435,1.157,0.579,1.165,0.901,0.863
,Myles Rice,Combo G,Maryland,,B10,17,21.2,0.979,96.4,21,43.3,50.62,1.2,14.4,16.7,23.4,25,27,0.926,19,50,0.38,11,32,0.344,0,3.4,32.9,Jr,6-3,2,0.655977,103.829,3.6,2026,75512,"Columbia, SC",55,0.95653782,12,30,7,20,0.4,0.35,0,0,,,111.208,101.291,1.89373,52.6389,-0.161579,41.258,-0.507,-1.53942,1.37784,0.43032,-0.150,-0.147,16.4941,0.760,-0.114,-2.23768,2.668,0.1765,1.9412,2.1176,1.2941,0.9412,0,5.6471,6.83182,2002-12-27,0.680,-0.078,-0.100,3.756,1.878,1.727,0.893,1.149
,Jaden Daughtry,Wing G,Richmond,,A10,30,38,0.957,101,27.9,58.4,59,4.5,16.5,8.5,18.5,40,67,0.597,79,146,0.541,24,51,0.471,0.8,2.8,34,Jr,6-7,2,0.975746,110.277,3.8,2026,77762,"Richmond, VA",,0.44185713,74,113,5,33,0.6549,0.1515,11,12,0.9167,,105.855,105.78,1.55758,92.9214,-2.93383,56.213,-3.418,-1.80623,-1.1276,0.151175,0.528,0.505,15.7774,1.018,0.538,0.767433,-0.616259,0.6452,2.3226,2.9677,0.6129,0.7742,0.129,8.9032,6.28511,2004-10-15,0.789,0.424,0.399,1.157,0.579,1.107,0.890,0.836
,Morgan Safford,Wing F,Kent St.,,MAC,31,75.2,1.345,115.2,20.1,50,55.28,6.9,12.6,8.7,12.9,104,131,0.794,69,142,0.486,65,191,0.34,1.7,1.5,39.3,Sr,6-5,8,2.27636,113.512,3.7,2026,71540,"Columbus, OH",,1,55,98,14,44,0.5612,0.3182,4,4,1,,111.702,110.738,2.54398,166.072,1.28611,52.334,1.499,1.80374,-0.517638,0.945674,1.133,1.524,31.1531,1.432,1.623,1.48481,-0.539131,1.9688,3.625,5.5938,1.4688,0.9375,0.4375,14.3438,10.7808,2001-02-23,0.795,1.290,1.212,-0.706,-0.353,0.780,0.889,0.834
,Lucas Scroggins,C,Saint Peter's,,MAAC,26,40,1.006,138.6,14.6,66.7,64.27,18.5,15.6,5.5,6.5,18,37,0.486,64,96,0.667,0,0,0,7.6,1.6,38.5,So,6-9,10,2.02009,126.031,6,2026,78847,"Woodbridge, VA",,1.37495788,59,86,5,10,0.686,0.5,31,31,1,,103.418,108.312,1.56388,80.9371,4.65487,24.696,4.164,2.20483,2.45005,2.45148,2.149,2.162,17.437,1.045,2.244,2.03751,0.413976,2.963,2.4444,5.4074,0.4074,0.4444,1.1111,5.7778,0,2004-10-15,0.765,1.716,1.653,-2.090,-1.045,1.103,0.881,0.849
,Jordan Butler,Stretch 4,South Carolina,,SEC,25,17,0.715,126.7,15.6,53.4,60.45,10.8,13.4,3.5,8.6,24,31,0.774,16,24,0.667,5,20,0.25,2.4,1.1,70.5,Jr,7-0,0,0.883703,121.571,5.3,2026,78944,"Greenville, SC",74.2,0.79999997,14,16,2,8,0.875,0.25,5,5,1,,112.246,107.419,0.815505,34.9388,1.55223,21.201,1.412,1.32024,0.23199,-0.28108,-0.255,-0.182,8.808,0.681,-0.174,-0.382322,0.101242,0.8,1,1.8,0.16,0.16,0.2,2.84,5.36863,2005-06-20,0.758,-0.132,-0.138,3.920,1.960,1.705,0.880,0.924
,Devin Haid,Wing G,South Florida,,Amer,22,15.6,0.761,116.3,15.4,42.1,48.34,8.1,12.8,13.3,11.8,14,15,0.933,12,27,0.444,8,30,0.267,1,2.9,26.3,Sr,6-5,4,0.54024,109.142,3.6,2026,128148,"Wooster, OH",,2.71475506,11,24,1,3,0.4583,0.3333,1,2,0.5,,102.848,102.869,1.01451,41.226,2.99811,21.165,2.724,1.23426,1.76384,1.6835,1.539,1.172,9.9826,0.652,1.004,-0.0521122,1.73562,0.7826,1.2609,2.0435,0.8261,0.6522,0.087,3.2609,7.7965,2003-10-15,0.733,0.736,0.859,0.591,0.296,1.835,0.878,1.024
,Seth Amunrud,Wing G,Montana St.,,BSky,23,42,1.117,127.7,15.2,59.3,62.94,4.9,10.9,6,10.4,22,22,1,25,48,0.521,32,75,0.427,1.5,1.9,17.9,Jr,6-3,12,1.80934,116.881,2.5,2026,135226,"Bozeman, MT",,1,18,34,7,14,0.5294,0.5,2,2,1,,110.175,111.163,1.71277,77.2439,2.20442,31.492,1.973,1.98278,0.221638,1.68577,1.506,1.682,21.4875,1.070,1.612,1.63359,0.0521791,0.8333,1.875,2.7083,0.6667,0.7083,0.2917,7.25,9.11331,2004-10-15,0.742,1.196,1.248,-0.818,-0.409,1.097,0.871,0.909
,Tay Smith,Wing G,North Dakota St.,,Sum,32,48.3,1.072,116.9,16.2,55.4,55.85,4.4,11.4,5.1,9.8,8,12,0.667,10,25,0.4,68,177,0.384,0,2.5,5.9,Sr,6-2,3,1.04923,108.024,1.8,2026,133745,"Bowling Green, KY",,1.52624784,10,23,0,2,0.4348,0,3,4,0.75,,105.441,108.164,1.75643,106.303,0.803074,33.877,0.768,1.58283,-0.779755,1.8337,1.710,1.833,19.8,1.148,1.963,1.7553,0.0784058,0.7143,1.8,2.5143,0.8286,1.0857,0,7.6571,16.5201,2003-10-15,0.800,1.570,1.467,-1.524,-0.762,0.948,0.870,0.813
,Caleb Sanders,Wing G,South Florida,,Amer,10,5.4,0.663,132.4,16.1,67.9,72.64,5.5,10,11.5,18.6,11,14,0.786,5,7,0.714,3,7,0.429,0,2.3,100,Fr,6-6,7,0.815775,125.423,3.3,2026,134446,"Riverview, FL",,2.00027507,4,6,1,1,0.6667,1,0,0,,,106.055,105.324,0.716791,12.3917,3.41382,19.076,3.168,3.14771,0.266111,4.07736,3.772,2.500,7.5636,0.384,1.448,3.16669,0.910674,0.5455,0.9091,1.4545,0.7273,0.2727,0,2.8182,5.25542,2006-10-15,0.556,0.804,1.389,0.591,0.296,4.068,0.867,1.497
,Nolan Dorsey,Wing G,California,,ACC,30,24,0.788,103.6,10,51,52.51,2.9,13,5.9,16.2,6,9,0.667,9,14,0.643,11,36,0.306,0,2.2,18,Sr,6-5,21,0.00167515,92.4138,4,2026,73443,"Knightdale, NC",,1.09981394,9,13,0,1,0.6923,0,0,0,,,105.417,101.296,1.21247,56.8253,0.965721,15.005,1.120,-0.748918,1.71464,-1.18666,-0.250,-0.197,10.7032,0.809,-0.203,-3.12819,1.94153,0.2581,1.2581,1.5161,0.3548,0.3871,0,1.9355,6.49999,2001-05-16,0.789,-0.160,-0.156,3.209,1.605,1.354,0.865,0.843
,KJ Cochran,Wing G,Santa Clara,,WCC,34,29.4,0.828,112.6,18.6,51.4,52.66,5.3,8.5,7.9,11.5,15,23,0.652,38,56,0.679,23,85,0.271,0.6,2.2,16.3,Fr,6-4,7,0.90573,114.564,3.9,2026,134225,"West Chester, PA",74.8,1.26654578,28,41,10,15,0.6829,0.6667,1,2,0.5,,109.541,106.837,1.12342,59.7787,1.23315,29.773,1.443,2.55184,-1.31869,0.533255,0.594,0.492,11.8029,0.896,0.532,0.88084,-0.347586,0.5588,0.8235,1.3824,0.5588,0.4412,0.0588,4.7059,12.1553,2006-10-15,0.810,0.431,0.398,1.197,0.598,1.193,0.865,0.799
,Sven Djopmo,Combo G,Arizona,,B12,19,2.1,0.316,115.5,16.1,57.1,53.33,3.6,9.1,19.3,10.6,2,5,0.4,4,5,0.8,0,2,0,0,1.7,71.4,Jr,6-2,42,0.124161,113.158,3.7,2026,127426,"Reims, France",,4.00190117,4,5,0,0,0.8,,0,0,,,101.447,97.0648,0.222777,5.40509,4.21462,8.846,3.891,2.85538,1.35924,3.6713,3.350,1.059,1.7211,0.239,0.802,0.492626,3.17868,0.0526,0.1579,0.2105,0.2105,0.0526,0,0.5263,3.40149,2004-10-15,0.704,0.564,0.745,3.557,1.779,5.129,0.864,1.141
,Evan Nelson,Combo G,Arizona,,B12,25,5.4,0.445,87.4,11.6,53.8,53.85,1.4,12.8,11.8,39.5,0,0,0,1,3,0.333,4,10,0.4,1.2,2,0,Sr,6-2,21,-0.143492,80.2342,1.4,2026,75846,"Tucson, AZ",45.8,1,1,2,0,1,0.5,0,0,0,,,98.758,93.2432,0.486333,15.9174,3.17534,8.907,3.164,-0.992665,4.168,0.858942,1.183,0.526,3.408,0.384,0.454,-1.93335,2.79229,0.04,0.44,0.48,0.28,0.12,0.04,0.56,6.61401,2002-10-15,0.758,0.344,0.399,3.557,1.779,2.961,0.861,0.998
